Animal,Class,Scientific Name,Sound / Vocalization,Emotion Label,Context / Trigger
Bonnet Macaque,Mammal,Macaca radiata,"Squeak, contact call",Contact/Neutral,
Common Myna,Bird,Acridotheres tristis,Mobbing calls,Group Alarm,
Eurasian Eagle-Owl variant 15,Bird,Bubo bubo,"Mimicry, learned sounds",Curiosity/Exploration,near nesting site
Golden Jackal variant 52,Mammal,Canis aureus,"Roar, long call",Territorial/Aggressive,during mating display
White Rhinoceros,Mammal,Ceratotherium simum,"Squeak, contact call",Contact/Neutral,
Rusty-spotted Cat,Mammal,Prionailurus rubiginosus,"Whine, whimper",Distress/Anxious,
Sandpiper variant 24,Bird,Scolopacidae sp.,"Mimicry, learned sounds",Curiosity/Exploration,
Bonnet Macaque variant 44,Mammal,Macaca radiata,"Trumpet, rumble",Alarm/Excited,
Bald Eagle,Bird,Haliaeetus leucocephalus,Wing-flap displays,Excitement/Display,
Mugger Crocodile variant 74,Reptile,Crocodylus palustris,Silent (body-language),Neutral/Calm,at dusk
Red Junglefowl variant 22,Bird,Gallus gallus,"Song, melodious trills",Courtship/Excited,
Indian Grey Mongoose variant 63,Mammal,Herpestes edwardsii,"Trumpet, rumble",Alarm/Excited,
Ibis,Bird,Threskiornis sp.,Wing-flap displays,Excitement/Display,at dusk
Pied Bushchat variant 21,Bird,Saxicola caprata,Purring or soft chatter,Affiliative/Relaxed,
Indian Palm Squirrel variant 46,Mammal,Funambulus palmarum,Chittering,Playful,in presence of human
Indian Vulture,Bird,Gyps indicus,Wing-flap displays,Excitement/Display,at dawn
Indian Palm Squirrel,Mammal,Funambulus palmarum,"Trumpet, rumble",Alarm/Excited,
Fantail Flycatcher,Bird,Rhipidura,Purring or soft chatter,Affiliative/Relaxed,when separated from group
Tilapia,Fish,Oreochromis niloticus,Tail slap,Threat/Startle,
Domestic Goat,Mammal,Capra hircus,Chittering,Playful,
Small Indian Civet variant 64,Mammal,Viverricula indica,Loud bawl,Distress/Alarm,
Butterfly,Insect,Lepidoptera,Alarm buzzing,Alarm,
Indian Flying Fox,Mammal,Pteropus giganteus,"Squeak, contact call",Contact/Neutral,
Black-headed Ibis,Bird,Threskiornis melanocephalus,Aggressive scolding,Aggression/Defense,
Indian Roller,Bird,Coracias benghalensis,Purring or soft chatter,Affiliative/Relaxed,in presence of human
Kangaroo,Mammal,Macropus,Mating call (vocal),Courtship/Excited,
Himalayan Tahr variant 54,Mammal,Hemitragus jemlahicus,"Squeak, contact call",Contact/Neutral,
Bald Eagle,Bird,Haliaeetus leucocephalus,"Mimicry, learned sounds",Curiosity/Exploration,during foraging
Indian Rock Python variant 68,Reptile,Python molurus,Tongue-flick (non-vocal),Exploration,during mating display
Pied Bushchat,Bird,Saxicola caprata,Bill-clacking,Threat,
House Sparrow variant 0,Bird,Passer domesticus,"Mimicry, learned sounds",Curiosity/Exploration,
Rusty-spotted Cat,Mammal,Prionailurus rubiginosus,"Trumpet, rumble",Alarm/Excited,
Ibis,Bird,Threskiornis sp.,Purring or soft chatter,Affiliative/Relaxed,
Moorhen variant 26,Bird,Gallinula chloropus,"Alarm call, harsh chips",Alarm/Alert,
Domestic Goat variant 56,Mammal,Capra hircus,Loud bawl,Distress/Alarm,
Indian Courser,Bird,Cursorius coromandelicus,Soft contact calls,Content/Comfort,
Hilsa,Fish,Tenualosa ilisha,Low hum (sonar-like),Communication,
Indian Flying Fox,Mammal,Pteropus giganteus,"Purr, contented vocalization",Contentment/Relaxed,
Moorhen,Bird,Gallinula chloropus,"Mimicry, learned sounds",Curiosity/Exploration,
Indian Leopard variant 36,Mammal,Panthera pardus fusca,Loud bawl,Distress/Alarm,
Golden Jackal variant 52,Mammal,Canis aureus,Hiss,Threat/Avoidance,near nesting site
Black-headed Ibis,Bird,Threskiornis melanocephalus,"Chirp, cheep",Contact/Neutral,
Tree Frog,Amphibian,Rhacophoridae sp.,Agitated splash,Escape,
Fantail variant 33,Bird,Rhipidura sp.,"Song, melodious trills",Courtship/Excited,
Tree Sparrow,Bird,Passer montanus,"Chirp, cheep",Contact/Neutral,
Greater Coucal variant 17,Bird,Centropus sinensis,"Song, melodious trills",Courtship/Excited,
Wild Ass,Mammal,Equus hemionus,Chittering,Playful,
Indian Palm Squirrel variant 46,Mammal,Funambulus palmarum,Mating call (vocal),Courtship/Excited,
Guppy,Fish,Poecilia reticulata,Grunting (some),Aggression,
Common Carp,Fish,Cyprinus carpio,Bubble streams,Exploration/Foraging,
Garden Lizard variant 76,Reptile,Calotes versicolor,Jaw clack,Threat,
Saltwater Crocodile variant 75,Reptile,Crocodylus porosus,Rattle (some species),Warning,
Indian Rhinoceros,Mammal,Rhinoceros unicornis,"Growl, snarl",Aggression,
Moorhen,Bird,Gallinula chloropus,Soft contact calls,Content/Comfort,during foraging
Dhole variant 51,Mammal,Cuon alpinus,"Roar, long call",Territorial/Aggressive,
Asiatic Lion,Mammal,Panthera leo persica,Loud bawl,Distress/Alarm,
Garden Lizard,Reptile,Calotes versicolor,Low growl-like hiss,Alarm/Alert,
Indian Wolf,Mammal,Canis lupus pallipes,"Bark, woof",Alert/Excited,
Barn Owl,Bird,Tyto alba,Purring or soft chatter,Affiliative/Relaxed,
Saltwater Crocodile,Reptile,Crocodylus porosus,Hiss,Threat/Defense,
Indian Rock Python variant 68,Reptile,Python molurus,Splash (aquatic),Startle/Escape,
Mountain Goat,Mammal,Oreamnos americanus,"Whine, whimper",Distress/Anxious,
Asian Koel,Bird,Eudynamys scolopaceus,"Alarm call, harsh chips",Alarm/Alert,
Rohu,Fish,Labeo rohita,Grunting (some),Aggression,
Common Kingfisher,Bird,Alcedo atthis,Soft contact calls,Content/Comfort,near nesting site
Sandpiper variant 24,Bird,Scolopacidae sp.,"Alarm call, harsh chips",Alarm/Alert,
Tree Frog,Amphibian,Rhacophoridae sp.,Silence (hiding),Fear/Hide,
Asian Koel,Bird,Eudynamys scolopaceus,Soft contact calls,Content/Comfort,
Eurasian Eagle-Owl variant 15,Bird,Bubo bubo,Aggressive scolding,Aggression/Defense,at dusk
Indian Palm Squirrel variant 46,Mammal,Funambulus palmarum,"Roar, long call",Territorial/Aggressive,
Moorhen variant 26,Bird,Gallinula chloropus,Purring or soft chatter,Affiliative/Relaxed,
Nilgai variant 42,Mammal,Boselaphus tragocamelus,Loud bawl,Distress/Alarm,during mating display
Asian Koel variant 3,Bird,Eudynamys scolopaceus,"Mimicry, learned sounds",Curiosity/Exploration,during mating display
Golden Jackal,Mammal,Canis aureus,Mating call (vocal),Courtship/Excited,
Nilgai variant 42,Mammal,Boselaphus tragocamelus,Mating call (vocal),Courtship/Excited,
Indian Pangolin,Mammal,Manis crassicaudata,"Purr, contented vocalization",Contentment/Relaxed,
Rock Pigeon variant 6,Bird,Columba livia,Fleeing chatter,Fear/Escape,
Mugger Crocodile,Reptile,Crocodylus palustris,Splash (aquatic),Startle/Escape,
Bengal Fox,Mammal,Vulpes bengalensis,"Growl, snarl",Aggression,near nesting site
White-throated Kingfisher,Bird,Halcyon smyrnensis,Soft contact calls,Content/Comfort,
Indian Grey Hornbill variant 16,Bird,Ocyceros birostris,Wing-flap displays,Excitement/Display,
White Rhinoceros,Mammal,Ceratotherium simum,Sniffing/grunting,Exploration/Foraging,
Rose-ringed Parakeet,Bird,Psittacula krameri,"Alarm call, harsh chips",Alarm/Alert,
Common Krait,Reptile,Bungarus caeruleus,Vocal chirp (rare),Contact,
Indian Roller variant 7,Bird,Coracias benghalensis,Wing-flap displays,Excitement/Display,
Indian Monitor Lizard,Reptile,Varanus bengalensis,Tongue-flick (non-vocal) (variant),Exploration,
Tilapia,Fish,Oreochromis niloticus,Calm bubbling,Neutral,
Rusty-spotted Cat variant 62,Mammal,Prionailurus rubiginosus,Hiss,Threat/Avoidance,
Domestic Cat variant 59,Mammal,Felis catus,"Squeak, contact call",Contact/Neutral,in presence of human
House Crow,Bird,Corvus splendens,Distress squeal,Distress/Separation,
Indian Roller variant 7,Bird,Coracias benghalensis,"Mimicry, learned sounds",Curiosity/Exploration,during mating display
Nilgai,Mammal,Boselaphus tragocamelus,"Bark, woof",Alert/Excited,
Rusty-spotted Cat,Mammal,Prionailurus rubiginosus,Chittering,Playful,
Great Indian Bustard,Bird,Ardeotis nigriceps,Fleeing chatter,Fear/Escape,
Fantail Flycatcher,Bird,Rhipidura,Distress squeal,Distress/Separation,
Indian Courser,Bird,Cursorius coromandelicus,Fleeing chatter,Fear/Escape,
Garden Lizard variant 76,Reptile,Calotes versicolor,Breathing sound,Relaxed,
King Cobra variant 69,Reptile,Ophiophagus hannah,Rattle (some species),Warning,at dawn
Small Indian Civet,Mammal,Viverricula indica,"Purr, contented vocalization",Contentment/Relaxed,at dawn
Indian Monitor Lizard variant 73,Reptile,Varanus bengalensis,Breathing sound,Relaxed,during foraging
Bengal Fox variant 65,Mammal,Vulpes bengalensis,"Whine, whimper",Distress/Anxious,
Giant Panda,Mammal,Ailuropoda melanoleuca,"Roar, long call",Territorial/Aggressive,in presence of human
Giant Panda,Mammal,Ailuropoda melanoleuca,"Bark, woof",Alert/Excited,at dawn
Asiatic Lion variant 37,Mammal,Panthera leo persica,"Whine, whimper",Distress/Anxious,
Asian Openbill variant 30,Bird,Anastomus oscitans,Mobbing calls,Group Alarm,
Indian Elephant variant 34,Mammal,Elephas maximus indicus,"Roar, long call",Territorial/Aggressive,
Giant Panda,Mammal,Ailuropoda melanoleuca,"Whine, whimper",Distress/Anxious,
Common Carp,Fish,Cyprinus carpio,Clicking (some),Courtship/Display,
Greater Coucal variant 17,Bird,Centropus sinensis,"Mimicry, learned sounds",Curiosity/Exploration,when separated from group
Fantail,Bird,Rhipidura sp.,"Song, melodious trills",Courtship/Excited,
Indian Pangolin,Mammal,Manis crassicaudata,Chittering,Playful,
Olive Ridley Turtle,Reptile,Lepidochelys olivacea,Hiss,Threat/Defense,
Domestic Dog,Mammal,Canis familiaris,Chittering,Playful,
Bengal Tiger,Mammal,Panthera tigris tigris,Sniffing/grunting,Exploration/Foraging,
Sandpiper,Bird,Scolopacidae sp.,Aggressive scolding,Aggression/Defense,in presence of human
Fantail variant 33,Bird,Rhipidura sp.,Soft contact calls,Content/Comfort,near nesting site
Jungle Owlet,Bird,Glaucidium radiatum,Aggressive scolding,Aggression/Defense,
Black Drongo variant 12,Bird,Dicrurus macrocercus,Distress squeal,Distress/Separation,
House Sparrow,Bird,Passer domesticus,"Song, melodious trills",Courtship/Excited,during mating display
Indian Pangolin,Mammal,Manis crassicaudata,"Growl, snarl",Aggression,
Indian Vulture variant 28,Bird,Gyps indicus,"Song, melodious trills",Courtship/Excited,
Indian Vulture,Bird,Gyps indicus,Soft contact calls,Content/Comfort,
Butterfly,Insect,Lepidoptera,Stridulation (chirp),Courtship/Display,when threatened
Gharial,Reptile,Gavialis gangeticus,Low growl-like hiss,Alarm/Alert,
Red Junglefowl,Bird,Gallus gallus,"Alarm call, harsh chips",Alarm/Alert,
Little Egret,Bird,Egretta garzetta,Aggressive scolding,Aggression/Defense,
Red Junglefowl,Bird,Gallus gallus,Purring or soft chatter,Affiliative/Relaxed,
Domestic Dog,Mammal,Canis familiaris,"Growl, snarl",Aggression,during foraging
White-throated Kingfisher variant 13,Bird,Halcyon smyrnensis,"Mimicry, learned sounds",Curiosity/Exploration,
Bar-headed Goose,Bird,Anser indicus,Aggressive scolding,Aggression/Defense,
Indian Grey Hornbill variant 16,Bird,Ocyceros birostris,Purring or soft chatter,Affiliative/Relaxed,
Gaur,Mammal,Bos gaurus,Chittering,Playful,in presence of human
Red Panda,Mammal,Ailurus fulgens,"Whine, whimper",Distress/Anxious,
Giant Panda,Mammal,Ailuropoda melanoleuca,Hiss,Threat/Avoidance,
Snow Leopard,Mammal,Panthera uncia,"Bark, woof",Alert/Excited,
Polar Bear,Mammal,Ursus maritimus,"Bark, woof",Alert/Excited,during mating display
Striped Hyena variant 66,Mammal,Hyaena hyaena,Chittering,Playful,
Bar-headed Goose,Bird,Anser indicus,"Mimicry, learned sounds",Curiosity/Exploration,during mating display
Indian Elephant,Mammal,Elephas maximus indicus,"Roar, long call",Territorial/Aggressive,when threatened
Red Junglefowl,Bird,Gallus gallus,Distress squeal,Distress/Separation,
Golden Jackal variant 52,Mammal,Canis aureus,"Trumpet, rumble",Alarm/Excited,
Tree Sparrow,Bird,Passer montanus,"Mimicry, learned sounds",Curiosity/Exploration,
Mugger Crocodile,Reptile,Crocodylus palustris,Jaw clack,Threat,near nesting site
Tree Frog,Amphibian,Rhacophoridae sp.,Loud croak,Mating/Call,
Indian Peafowl,Bird,Pavo cristatus,Soft contact calls,Content/Comfort,
Fishing Cat,Mammal,Prionailurus viverrinus,"Bark, woof",Alert/Excited,
Leopard Cat variant 61,Mammal,Prionailurus bengalensis,"Squeak, contact call",Contact/Neutral,at dusk
Rohu,Fish,Labeo rohita,Feeding rasp,Excitement,
Himalayan Tahr variant 54,Mammal,Hemitragus jemlahicus,"Trumpet, rumble",Alarm/Excited,when separated from group
Rhesus Macaque variant 43,Mammal,Macaca mulatta,"Roar, long call",Territorial/Aggressive,
Asian Openbill,Bird,Anastomus oscitans,Soft contact calls,Content/Comfort,
White-throated Kingfisher variant 13,Bird,Halcyon smyrnensis,Fleeing chatter,Fear/Escape,at dawn
Eurasian Eagle-Owl,Bird,Bubo bubo,"Song, melodious trills",Courtship/Excited,
Catla,Fish,Catla catla,Rapid splash,Alarm/Escape,
Indian Courser,Bird,Cursorius coromandelicus,Purring or soft chatter,Affiliative/Relaxed,
Water Buffalo variant 55,Mammal,Bubalus bubalis,Hiss,Threat/Avoidance,
Dhole variant 51,Mammal,Cuon alpinus,Sniffing/grunting,Exploration/Foraging,
Eurasian Eagle-Owl,Bird,Bubo bubo,Purring or soft chatter,Affiliative/Relaxed,in presence of human
Dhole,Mammal,Cuon alpinus,Hiss,Threat/Avoidance,
Honey Bee,Insect,Apis cerana,Rattling,Startle,
Dhole,Mammal,Cuon alpinus,"Whine, whimper",Distress/Anxious,
Leopard Cat variant 61,Mammal,Prionailurus bengalensis,Sniffing/grunting,Exploration/Foraging,when threatened
Catla,Fish,Catla catla,Fleeing dash,Fear,
Indian Pangolin variant 48,Mammal,Manis crassicaudata,"Roar, long call",Territorial/Aggressive,
Asian Openbill,Bird,Anastomus oscitans,Fleeing chatter,Fear/Escape,
Musk Deer,Mammal,Moschus moschiferus,"Squeak, contact call",Contact/Neutral,
Indian Hare,Mammal,Lepus nigricollis,"Roar, long call",Territorial/Aggressive,at dusk
Fishing Cat,Mammal,Prionailurus viverrinus,"Squeak, contact call",Contact/Neutral,
Indian Nightjar variant 32,Bird,Caprimulgus asiaticus,Mobbing calls,Group Alarm,
Domestic Sheep,Mammal,Ovis aries,"Purr, contented vocalization",Contentment/Relaxed,
Greater Coucal variant 17,Bird,Centropus sinensis,Aggressive scolding,Aggression/Defense,
Cattle Egret,Bird,Bubulcus ibis,Aggressive scolding,Aggression/Defense,when separated from group
Golden Jackal,Mammal,Canis aureus,"Trumpet, rumble",Alarm/Excited,
Green Bee-eater,Bird,Merops orientalis,"Mimicry, learned sounds",Curiosity/Exploration,
Common Myna variant 2,Bird,Acridotheres tristis,Aggressive scolding,Aggression/Defense,
Bengal Fox variant 65,Mammal,Vulpes bengalensis,"Trumpet, rumble",Alarm/Excited,
Butterfly,Insect,Lepidoptera,Rattling,Startle,
Nilgiri Tahr,Mammal,Nilgiritragus hylocrius,"Trumpet, rumble",Alarm/Excited,
Green Bee-eater variant 27,Bird,Merops orientalis,"Mimicry, learned sounds",Curiosity/Exploration,
Domestic Cat,Mammal,Felis catus,"Whine, whimper",Distress/Anxious,
Tilapia,Fish,Oreochromis niloticus,Distress thrashing,Distress,
Wild Ass,Mammal,Equus hemionus,"Growl, snarl",Aggression,
Moorhen variant 26,Bird,Gallinula chloropus,"Mimicry, learned sounds",Curiosity/Exploration,during mating display
Common Krait variant 70,Reptile,Bungarus caeruleus,Huffing,Defensive,
Butterfly,Insect,Lepidoptera,Swarm roar,Excitement,
Sloth Bear,Mammal,Melursus ursinus,Loud bawl,Distress/Alarm,
Nilgiri Tahr,Mammal,Nilgiritragus hylocrius,"Purr, contented vocalization",Contentment/Relaxed,
Indian Monitor Lizard variant 73,Reptile,Varanus bengalensis,Slow low moan,Distress,at dawn
Domestic Sheep variant 57,Mammal,Ovis aries,Loud bawl,Distress/Alarm,
Butterfly,Insect,Lepidoptera,Buzzing,Neutral/Forage,
Indian Courser,Bird,Cursorius coromandelicus,Mobbing calls,Group Alarm,in presence of human
Hanuman Langur variant 45,Mammal,Semnopithecus entellus,Hiss,Threat/Avoidance,
Jungle Owlet,Bird,Glaucidium radiatum,Fleeing chatter,Fear/Escape,
Wild Boar variant 53,Mammal,Sus scrofa cristatus,"Purr, contented vocalization",Contentment/Relaxed,during foraging
Fantail variant 33,Bird,Rhipidura sp.,Fleeing chatter,Fear/Escape,
Polar Bear,Mammal,Ursus maritimus,"Squeak, contact call",Contact/Neutral,
Wild Boar variant 53,Mammal,Sus scrofa cristatus,Mating call (vocal),Courtship/Excited,
Indian Rock Python,Reptile,Python molurus,Hiss,Threat/Defense,
Indian Bullfrog,Amphibian,Hoplobatrachus tigerinus,Silence (hiding),Fear/Hide,
Red Junglefowl,Bird,Gallus gallus,"Mimicry, learned sounds",Curiosity/Exploration,at dusk
Bar-headed Goose variant 20,Bird,Anser indicus,Bill-clacking,Threat,in presence of human
Saw-scaled Viper,Reptile,Echis carinatus,Low growl-like hiss,Alarm/Alert,
Brahminy Kite,Bird,Haliastur indus,Distress squeal,Distress/Separation,at dawn
White-throated Kingfisher variant 13,Bird,Halcyon smyrnensis,Distress squeal,Distress/Separation,
Brahminy Kite,Bird,Haliastur indus,Fleeing chatter,Fear/Escape,
Brown Palm Civet,Mammal,Paradoxurus jerdoni,Hiss,Threat/Avoidance,
Common Myna variant 2,Bird,Acridotheres tristis,Purring or soft chatter,Affiliative/Relaxed,
Nilgiri Tahr,Mammal,Nilgiritragus hylocrius,"Roar, long call",Territorial/Aggressive,
Koala,Mammal,Phascolarctos cinereus,Mating call (vocal),Courtship/Excited,
Great Indian Bustard,Bird,Ardeotis nigriceps,"Chirp, cheep",Contact/Neutral,
Fishing Cat variant 60,Mammal,Prionailurus viverrinus,"Growl, snarl",Aggression,near nesting site
Garden Lizard variant 76,Reptile,Calotes versicolor,Tongue-flick (non-vocal),Exploration,when separated from group
Asian Koel variant 3,Bird,Eudynamys scolopaceus,Fleeing chatter,Fear/Escape,
Domestic Cat,Mammal,Felis catus,"Trumpet, rumble",Alarm/Excited,
Rock Pigeon,Bird,Columba livia,"Chirp, cheep",Contact/Neutral,during foraging
Black-headed Ibis variant 29,Bird,Threskiornis melanocephalus,"Chirp, cheep",Contact/Neutral,
Rohu,Fish,Labeo rohita,Distress thrashing,Distress,
Sambar Deer,Mammal,Rusa unicolor,"Bark, woof",Alert/Excited,
Greater Coucal variant 17,Bird,Centropus sinensis,Bill-clacking,Threat,
Fantail Flycatcher,Bird,Rhipidura,Soft contact calls,Content/Comfort,
Polar Bear,Mammal,Ursus maritimus,Hiss,Threat/Avoidance,
Indian Flying Fox variant 47,Mammal,Pteropus giganteus,"Squeak, contact call",Contact/Neutral,
Jungle Owlet,Bird,Glaucidium radiatum,"Alarm call, harsh chips",Alarm/Alert,in presence of human
Fantail,Bird,Rhipidura sp.,Bill-clacking,Threat,
Indian Grey Mongoose,Mammal,Herpestes edwardsii,"Bark, woof",Alert/Excited,
Nilgiri Tahr,Mammal,Nilgiritragus hylocrius,"Squeak, contact call",Contact/Neutral,
Barn Owl variant 14,Bird,Tyto alba,"Chirp, cheep",Contact/Neutral,when separated from group
White-throated Kingfisher variant 13,Bird,Halcyon smyrnensis,Soft contact calls,Content/Comfort,
